S.No,inst_name,Rating,Category,Course,Infra,Faculty,District,State,Links,Placement %,ALP,Fee,Combined Score,Rank,FeeCategory,S links,Classified Rating,Our Rating
252,"QIS COLLEGE OF ENGG. AND
 TECHNOLOGY-2nd SHIFT",3.6,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Prakasam,Andhra Pradesh,https://qis.edu.in,55,2.8,36500,18.78,551,l,https://youtu.be/4-zvvyIUeHY?si=Vney4Owl3vn24Hfi,0.035,2
150,"KITS COLLEGE OF PHARMACY FOR
 WOMEN",3.4,PW,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,East Godavari,Andhra Pradesh,http://kitspharmacy.ac.in,55,3,35000,18.76,552.5,vl,,,n/a
500,Government College,3.1,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Baloda Bazar,Chhattisgarh,https://gdkcbalodabazar.ac.in/,56,2.4,7745,18.76,552.5,vl,,,n/a
261,RATHNAM INST OF PHARM,3.9,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Nellore,Andhra Pradesh,http://www.ratnampharma.edu.in,55,2.3,66200,18.75,554.5,m,,,n/a
270,"RAMIREDDY SUBBA RAMIREDDY
 ENGG COLLEGE",3.9,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Nellore,Andhra Pradesh,https://www.rsrec.edu.in,55,2.3,40000,18.75,554.5,l,,,n/a
250,PYDAH COLLEGE OF PHARMACY,3.8,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,East Godavari,Andhra Pradesh,https://www.pydahpharmacy.edu.in,55,2.4,35000,18.74,556,vl,,,n/a
390,"VELAGA NAGESWARA RAO COLL OF
ENGINEERING",3.3,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Guntur,Andhra Pradesh,https://www.shiksha.com/college/velaga-nageswara-rao-college-of-engineering-andhra-pradesh-other-60965,55,3,40000,18.72,557,l,,,n/a
770,Lakshmi Narain College of Technology,3.2,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Vidisha,Madhya Pradesh,https://lnctvidisha.in/,56,2.1,60000,18.71,558,m,,,n/a
710,Government Degree College,3,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Bad,Good,Bhind,Madhya Pradesh,https://bhind.nic.in/en/public-utility-category/government-colleges/,56,2.3,6000,18.69,559,vl,,,n/a
366,VEDA COLLEGE OF PHARMACY,3.2,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Prakasam,Andhra Pradesh,http://www.vedacollegeofpharmacy.com,55,3,35000,18.68,560.5,vl,,,n/a
