S.No,inst_name,Rating,Category,Course,Infra,Faculty,District,State,Links,Placement %,ALP,Fee,Combined Score,Rank,FeeCategory,S links,Our Rating
10,AMALAPURAM INST OF MGMT SCI,3.7,M,"{'bma', 'marketing', 'mba'}",Good,Good,East Godavari,Andhra Pradesh,http://aimscoe.com,80.0,4.0,70000,26.68,97.0,m,,n/a
176,"SRI LAKSHMI NARASIMHA COLLEGE
 OF PHARMACY",4.4,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",VGood,VGood,Chittoor,Andhra Pradesh,http://jntuadaa.ac.in,80.0,3.0,35000,26.66,98.0,vl,,n/a
60,BIT INSTITUTE OF TECHNOLOGY,3.6,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Anantapuramu,Andhra Pradesh,https://www.educrib.com/vijayawada/colleges/bit-institute-of-technology-hindupur,77.0,7.0,120000,26.64,99.0,vh,,n/a
314,SANTHIRAM COLLEGE OF PHARMACY,3.8,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Kurnool,Andhra Pradesh,https://srcpnandyal.edu.in,80.0,3.5,75000,26.57,100.0,h,,n/a
671,University of Mysore,4.2,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Good,VGood,Mysore,Karnataka,https://www.shiksha.com/university/university-of-mysore-909/courses,80.0,2.9,55660,26.55,101.0,m,,n/a
311,"INST. OF PHARM. TECH. S P MAHILA
 VISWA VIDYALAYAM",3.7,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Chittoor,Andhra Pradesh,https://www.spmvv.ac.in,80.0,3.5,220000,26.53,102.0,vh,,n/a
328,"SRI RAGHAVENDRA INST OF
 TECHNOLOGY AND SCI.",4.3,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Nellore,Andhra Pradesh,Www.Srist.Org,79.0,3.6,35000,26.5,103.0,vl,,n/a
325,SANKAR REDDY INST OF PHARM SCI,4.0,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Prakasam,Andhra Pradesh,http://www.sankarreddypharmacy.in/index.html,80.0,2.9,45000,26.47,104.0,l,,n/a
654,Government First Grade College,4.3,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Average,VGood,Chikkamagaluru,Karnataka,https://www.shiksha.com/college/d-s-b-g-government-first-grade-college-chikkamagaluru-137581,79.0,3.5,2052,26.47,105.0,vl,,n/a
676,Siddaganga Institute of Technology,4.2,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,Good,Tumakuru,Karnataka,http://www.sit.ac.in/,80.0,2.6,128000,26.46,106.0,vh,,n/a
607,Government College Una,3.9,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Good,VGood,Una,Himachal Pradesh,http://www.govtpgcollegeuna.in/,80.0,3.0,6000,26.46,107.0,vl,,n/a
106,GUNTUR ENGINEERING COLLEGE,3.5,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Guntur,Andhra Pradesh,"https://gecg.ac.in/#:~:text=WHY%20CHOOSE%20US%20%3F,of%20Guntur%20district%2C%20Andhra%20Pradesh.",80.0,3.5,40000,26.45,108.5,l,,n/a
